stereo,vs,score
prop_accessor,prop_mutator,172
prop_accessor,prop_collaborational,43
prop_accessor,prop_creational,6
prop_accessor,prop_virtualtype,5
prop_mutator,prop_accessor,-172
prop_mutator,prop_collaborational,-42
prop_mutator,prop_creational,-27
prop_mutator,prop_virtualtype,0
prop_collaborational,prop_accessor,-43
prop_collaborational,prop_mutator,42
prop_collaborational,prop_creational,-50
prop_collaborational,prop_virtualtype,4
class_factory,class_controller,9
class_factory,class_entity,0
class_factory,class_data,12
class_controller,class_factory,-9
class_controller,class_entity,-16
class_controller,class_data,18
class_entity,class_factory,0
class_entity,class_controller,16
class_entity,class_data,7
prop_creational,prop_accessor,-6
prop_creational,prop_mutator,27
prop_creational,prop_collaborational,50
prop_virtualtype,prop_collaborational,-4
prop_virtualtype,prop_accessor,-5
prop_virtualtype,prop_mutator,0
class_data,class_factory,-12
class_data,class_controller,-18
class_data,class_entity,-7
